,game_id,home_team,away_team,posteam,defteam,game_date,drive,yards_gained,total_home_score,total_away_score,punt_blocked,first_down_rush,first_down_pass,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,interception,punt_inside_twenty,punt_in_endzone,kickoff_inside_twenty,kickoff_in_endzone,solo_tackle,tackled_for_loss,own_kickoff_recovery,rush_attempt,sack,punt_attempt,fumble,fourth_down_converted_away,interception_away,own_kickoff_recovery_away,sack_away,punt_blocked_away,punt_inside_twenty_away,punt_in_endzone_away,yards_gained_away,Pass_comp_percentage,Pass_comp_percentage_away,rush_attempt_away,third_down_converted_away,away_drive,away_first_down_rush,away_first_down_pass,away_third_down_failed,away_fourth_down_failed,away_kickoff_inside_twenty,away_kickoff_in_endzone,away_solo_tackle,away_tackled_for_loss,away_punt_attempt,away_fumble
43,2009092701,CIN,PIT,CIN,PIT,2009-09-27,9,275.0,23,20,0.0,5.0,12.0,3.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,2.0,0.0,19.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,373.0,0.5405405405405406,0.7333333333333333,28.0,6.0,9,7.0,10.0,6.0,1.0,0.0,0.0,38.0,2.0,2.0,0.0
44,2009092713,SD,MIA,SD,MIA,2009-09-27,9,355.0,22,13,0.0,2.0,15.0,7.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,44.0,4.0,0.0,28.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,289.0,0.5454545454545454,0.6,31.0,5.0,9,12.0,7.0,7.0,0.0,0.0,1.0,34.0,2.0,4.0,1.0
45,2009092712,OAK,DEN,OAK,DEN,2009-09-27,9,137.0,3,23,0.0,4.0,4.0,3.0,7.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,37.0,2.0,0.0,23.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,0.631578947368421,0.5652173913043478,45.0,5.0,10,9.0,10.0,7.0,1.0,0.0,1.0,49.0,2.0,2.0,1.0
46,2009092714,ARI,IND,IND,ARI,2009-09-27,13,323.0,10,31,0.0,0.0,18.0,4.0,10.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,44.0,2.0,0.0,12.0,4.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,505.0,0.6153846153846154,0.7058823529411765,31.0,3.0,12,6.0,15.0,8.0,1.0,0.0,0.0,47.0,4.0,4.0,1.0
47,2009092800,DAL,CAR,DAL,CAR,2009-09-28,10,449.0,19,7,0.0,10.0,12.0,5.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,48.0,0.0,0.0,32.0,2.0,5.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,271.0,0.6666666666666666,0.7096774193548387,16.0,1.0,10,5.0,10.0,7.0,0.0,1.0,1.0,37.0,3.0,6.0,2.0
48,2009100400,CHI,DET,DET,CHI,2009-10-04,12,276.0,48,24,0.0,6.0,8.0,2.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,30.0,1.0,0.0,20.0,2.0,4.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,398.0,0.6428571428571429,0.6521739130434783,26.0,7.0,13,6.0,16.0,10.0,1.0,1.0,2.0,53.0,4.0,5.0,1.0
49,2009100401,CLE,CIN,CIN,CLE,2009-10-04,15,395.0,20,22,0.0,8.0,14.0,6.0,13.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,53.0,1.0,0.0,33.0,2.0,9.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,375.0,0.5531914893617021,0.5348837209302325,30.0,5.0,16,9.0,11.0,13.0,0.0,2.0,2.0,50.0,1.0,9.0,2.0
50,2009100402,HOU,OAK,HOU,OAK,2009-10-04,15,329.0,29,6,0.0,6.0,7.0,3.0,13.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,33.0,6.0,0.0,41.0,4.0,7.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,165.0,0.5238095238095238,0.36363636363636365,22.0,2.0,14,1.0,6.0,13.0,1.0,1.0,0.0,34.0,5.0,8.0,3.0
51,2009100403,IND,SEA,SEA,IND,2009-10-04,10,431.0,34,17,0.0,4.0,20.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,22.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,279.0,0.775,0.7333333333333333,19.0,6.0,10,3.0,15.0,9.0,0.0,0.0,2.0,43.0,1.0,5.0,2.0
52,2009100404,JAC,TEN,TEN,JAC,2009-10-04,12,442.0,37,17,0.0,10.0,15.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,52.0,2.0,0.0,30.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,381.0,0.7297297297297297,0.6304347826086957,20.0,8.0,12,5.0,13.0,8.0,1.0,1.0,1.0,51.0,2.0,5.0,1.0
